9,0.18,0.78,0.75,3.95,32.6,0.167
C,0.22,0.78,0.74,3.95,32.6,0.167
0,0.11,0.78,0.66,3.95,32.6,0.167
1,0.11,0.84,0.75,3.95,32.6,0.167
2,0.18,0.85,0.67,3.95,32.6,0.167
3,0.17,0.83,0.68,3.95,32.6,0.167
4,0.22,0.84,0.67,3.95,32.6,0.167
5,0.22,0.83,0.61,3.95,32.6,0.167
6,0.24,0.84,0.65,3.95,32.6,0.167
7,0.24,0.86,0.63,3.95,32.6,0.167
8,0.24,0.86,0.65,3.95,32.6,0.167
9,0.25,0.86,0.63,3.95,32.6,0.167
C,0.24,0.87,0.64,3.95,32.6,0.167
0,0.26,0.87,0.64,3.95,32.6,0.167
1,0.24,0.85,0.63,3.95,32.6,0.167
2,0.25,0.85,0.64,3.95,32.6,0.167
3,0.24,0.85,0.63,3.95,32.6,0.167
4,0.25,0.85,0.64,3.95,32.6,0.167
5,0.24,0.86,0.63,3.95,32.6,0.167
6,0.24,0.86,0.64,3.95,32.6,0.167
7,0.24,0.85,0.62,3.95,32.6,0.167
8,0.24,0.85,0.63,3.95,32.6,0.169
9,0.25,0.86,0.62,3.95,32.6,0.167
C,0.24,0.85,0.61,3.95,32.6,0.167
0,0.24,0.86,0.63,3.95,32.6,0.167
1,0.24,0.88,0.62,3.95,32.6,0.169
2,0.25,0.85,0.65,3.95,32.6,0.169
3,0.27,0.83,0.61,3.95,32.6,0.167
4,0.25,0.84,0.62,3.95,32.6,0.169
5,0.26,0.85,0.62,3.95,32.6,0.167
6,0.25,0.86,0.63,3.95,32.6,0.167
7,0.25,0.86,0.62,3.95,32.6,0.169
8,0.26,0.86,0.62,3.95,32.6,0.169
9,0.25,0.86,0.62,3.95,32.6,0.169
C,0.25,0.86,0.62,3.95,32.6,0.169
0,0.25,0.85,0.62,3.95,32.6,0.167
1,0.25,0.85,0.62,3.95,32.6,0.169
2,0.26,0.86,0.62,3.95,32.6,0.170
3,0.25,0.86,0.63,3.95,32.6,0.172
4,0.26,0.85,0.62,3.95,32.6,0.169
5,0.25,0.85,0.64,3.95,32.6,0.169
6,0.24,0.84,0.62,3.95,32.6,0.169
7,0.24,0.81,0.61,3.95,32.6,0.169
8,0.26,0.88,0.63,3.95,32.6,0.169
9,0.25,0.87,0.64,3.95,32.6,0.172
C,0.25,0.86,0.62,3.95,32.6,0.172
0,0.24,0.85,0.64,3.95,32.6,0.172
1,0.25,0.85,0.63,3.95,32.6,0.172
2,0.24,0.86,0.63,3.95,32.6,0.172
3,0.24,0.85,0.63,3.95,32.6,0.172
4,0.25,0.86,0.63,3.95,32.6,0.170
5,0.24,0.85,0.63,3.95,32.6,0.172
6,0.24,0.86,0.62,3.95,32.6,0.172
7,0.24,0.85,0.63,3.95,32.6,0.172
8,0.24,0.86,0.63,3.95,32.6,0.172
9,0.25,0.85,0.63,3.95,32.6,0.172
C,0.24,0.86,0.63,3.95,32.6,0.172
0,0.24,0.86,0.64,3.95,32.6,0.172
1,0.24,0.85,0.63,3.95,32.6,0.172
2,0.24,0.86,0.63,3.95,32.6,0.172
3,0.24,0.86,0.63,3.95,32.6,0.172
4,0.24,0.86,0.63,3.95,32.6,0.172
5,0.24,0.85,0.64,3.95,32.6,0.172
6,0.24,0.86,0.63,3.95,32.6,0.172
7,0.25,0.85,0.64,3.95,32.6,0.172
8,0.24,0.85,0.64,3.95,32.6,0.172
9,0.24,0.85,0.64,3.95,32.6,0.172
C,0.24,0.86,0.64,3.95,32.6,0.172
0,0.25,0.85,0.63,3.95,32.6,0.172
1,0.25,0.85,0.63,3.95,32.6,0.172
2,0.24,0.86,0.63,3.95,32.6,0.172
3,0.24,0.86,0.64,3.95,32.6,0.172
4,0.24,0.85,0.63,3.95,32.6,0.172
5,0.24,0.85,0.64,3.95,32.6,0.172
6,0.24,0.85,0.62,3.95,32.6,0.172
7,0.24,0.85,0.64,3.95,32.6,0.172
8,0.24,0.85,0.63,3.95,32.6,0.172
9,0.24,0.85,0.63,3.95,32.6,0.172
C,0.25,0.86,0.64,3.95,32.6,0.172
0,0.25,0.85,0.64,3.95,32.6,0.172
1,0.24,0.85,0.63,3.95,32.6,0.172
2,0.24,0.86,0.62,3.95,32.6,0.172
3,0.25,0.86,0.63,3.95,32.6,0.172
4,0.24,0.85,0.63,3.95,32.6,0.172
5,0.24,0.86,0.65,3.95,32.6,0.172
6,0.24,0.86,0.63,3.95,32.6,0.172
7,0.23,0.85,0.63,3.95,32.6,0.172
8,0.24,0.85,0.63,3.95,32.6,0.172
9,0.25,0.85,0.63,3.95,32.6,0.172
C,0.24,0.85,0.63,3.95,32.6,0.172
0,0.24,0.86,0.63,3.95,32.6,0.172
1,0.24,0.85,0.64,3.95,32.6,0.172
2,0.24,0.85,0.63,3.95,32.6,0.174
3,0.24,0.85,0.64,3.95,32.6,0.172
4,0.24,0.86,0.64,3.95,32.6,0.172
5,0.24,0.85,0.63,3.95,32.6,0.172
6,0.24,0.85,0.63,3.95,32.6,0.175
7,0.24,0.85,0.63,3.95,32.6,0.172
8,0.24,0.85,0.63,3.95,32.6,0.172
9,0.24,0.85,0.63,3.95,32.6,0.174
C,0.24,0.85,0.63,3.95,32.6,0.172
0,0.24,0.85,0.63,3.95,32.6,0.174
1,0.24,0.85,0.63,3.95,32.6,0.174
2,0.24,0.85,0.63,3.95,32.6,0.174
3,0.24,0.85,0.63,3.95,32.6,0.172
4,0.24,0.85,0.63,3.95,32.6,0.174
5,0.24,0.85,0.63,3.96,33.1,0.174
6,0.24,0.85,0.63,3.96,32.9,0.174
7,0.23,0.85,0.63,3.95,32.9,0.174
8,0.24,0.85,0.64,3.96,32.9,0.174
9,0.24,0.85,0.62,3.95,32.9,0.177
C,0.24,0.86,0.63,3.94,32.6,0.175
0,0.24,0.86,0.62,3.95,32.6,0.174
1,0.24,0.85,0.63,3.95,32.6,0.174
2,0.24,0.86,0.63,3.95,32.6,0.174
3,0.24,0.86,0.63,3.95,32.6,0.174
4,0.24,0.86,0.63,3.95,32.6,0.174
5,0.24,0.85,0.63,3.95,32.6,0.174
6,0.24,0.86,0.62,3.95,32.6,0.174
7,0.24,0.86,0.63,3.95,32.6,0.174
8,0.24,0.85,0.63,3.95,32.6,0.174
9,0.24,0.86,0.63,3.95,32.6,0.174
C,0.24,0.86,0.63,3.95,32.6,0.177
0,0.24,0.86,0.63,3.95,32.6,0.174
1,0.24,0.85,0.64,3.95,32.6,0.174
7,0.34,0.73,0.75,3.95,32.6,0.180
8,0.35,0.73,0.75,3.94,32.6,0.180
9,0.34,0.73,0.74,3.94,32.6,0.180
C,0.35,0.73,0.74,3.94,32.6,0.180
0,0.35,0.72,0.76,3.95,32.6,0.177
1,0.35,0.73,0.75,3.95,32.6,0.177
2,0.35,0.72,0.76,3.95,32.6,0.177
3,0.35,0.73,0.75,3.95,32.6,0.179
4,0.35,0.72,0.75,3.95,32.6,0.180
5,0.35,0.72,0.75,3.95,32.6,0.180
6,0.35,0.73,0.75,3.95,32.6,0.180
7,0.35,0.72,0.75,3.95,32.6,0.177
8,0.35,0.72,0.75,3.95,32.6,0.177
9,0.35,0.72,0.76,3.95,32.6,0.177
C,0.36,0.73,0.75,3.95,32.6,0.180
0,0.36,0.72,0.75,3.95,32.6,0.180
1,0.35,0.72,0.77,3.95,32.6,0.180
2,0.35,0.71,0.76,3.95,32.6,0.182
3,0.35,0.72,0.75,3.95,32.9,0.180
4,0.36,0.72,0.76,3.95,32.6,0.180
5,0.36,0.72,0.75,3.95,32.6,0.180
6,0.35,0.73,0.75,3.95,32.6,0.180
7,0.35,0.72,0.76,3.95,32.6,0.180
8,0.35,0.72,0.76,3.95,32.6,0.177
9,0.36,0.72,0.76,3.95,32.6,0.182
C,0.36,0.71,0.76,3.95,32.6,0.182
0,0.35,0.72,0.75,3.95,32.6,0.182
1,0.35,0.72,0.75,3.95,32.6,0.177
2,0.37,0.70,0.75,3.95,32.6,0.180
3,0.33,0.77,0.75,3.95,32.6,0.182
4,0.36,0.74,0.79,3.95,32.6,0.179
5,0.33,0.76,0.74,3.95,32.6,0.182
6,0.30,0.81,0.67,3.95,32.6,0.182
7,0.46,0.95,0.51,3.95,32.6,0.182
8,0.52,0.76,0.41,3.95,32.6,0.182
9,0.67,0.67,0.42,3.95,32.6,0.180
C,0.70,0.63,0.41,3.95,32.6,0.180
0,0.71,0.66,0.12,3.95,32.6,0.182
1,0.68,0.62,0.10,3.95,32.6,0.182
2,0.66,0.83,0.05,3.95,32.6,0.182
3,0.74,0.72,0.03,3.95,32.6,0.182
4,0.73,0.64,0.01,3.95,32.6,0.182
5,0.63,0.69,0.03,3.95,32.6,0.182
6,0.73,0.78,-0.01,3.95,32.6,0.182
7,0.25,0.70,0.01,3.95,32.6,0.182
8,0.14,0.94,-0.05,3.95,32.6,0.182
9,-0.12,1.09,-0.09,3.95,32.6,0.182
C,-0.27,1.03,0.01,3.95,32.6,0.182
0,-0.39,1.18,0.21,3.95,32.6,0.182
1,-0.42,0.98,0.22,3.95,32.6,0.182
2,-0.40,0.93,0.24,3.95,32.6,0.182
3,-0.37,0.93,0.25,3.95,32.6,0.182
4,-0.39,0.93,0.25,3.95,32.6,0.180
5,-0.39,0.93,0.23,3.95,32.6,0.182
6,-0.38,0.94,0.24,3.95,32.6,0.182
7,-0.39,0.94,0.24,3.95,32.6,0.180
8,-0.39,0.93,0.24,3.95,32.6,0.182
9,-0.39,0.93,0.24,3.95,32.6,0.182
C,-0.39,0.94,0.24,3.95,32.6,0.182
0,-0.38,0.94,0.22,3.95,32.6,0.182
1,-0.39,0.94,0.24,3.95,32.6,0.182
2,-0.39,0.94,0.23,3.95,32.6,0.182
3,-0.39,0.94,0.23,3.95,32.6,0.182
4,-0.39,0.94,0.23,3.95,32.6,0.182
5,-0.38,0.93,0.24,3.95,32.6,0.182
6,-0.40,0.94,0.23,3.95,32.6,0.182
7,-0.39,0.94,0.22,3.95,32.6,0.182
8,-0.40,0.93,0.24,3.95,32.6,0.182
9,-0.40,0.93,0.24,3.95,32.6,0.182
C,-0.40,0.93,0.24,3.95,32.9,0.182
0,-0.40,0.93,0.24,3.95,32.9,0.182
1,-0.40,0.94,0.23,3.95,32.6,0.182
2,-0.40,0.93,0.23,3.95,32.6,0.182
3,-0.40,0.93,0.23,3.95,32.6,0.182
4,-0.39,0.94,0.24,3.95,32.6,0.182
5,-0.39,0.93,0.23,3.95,32.6,0.182
6,-0.39,0.94,0.23,3.95,32.9,0.182
